,code,name,price,distributor,image_src
127,FUD11501,Food Bar Беби Рукола 100гр,83,Трговец:,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFUD11501.jpg&w=750&q=75
128,FRE00224,Тиквица 1п цца. 480гр,24,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00224.jpg&w=750&q=75
129,FRE00224,Тиквица 1п цца. 480гр,24,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00224.jpg&w=750&q=75
130,FRE00195,Модар патлиџан (домат) 1п цца. 800гр,29,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00195.jpg&w=750&q=75
131,FRE00195,Модар патлиџан (домат) 1п цца. 800гр,29,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00195.jpg&w=750&q=75
132,FRE00143,Домати Розеви мин. 4п цца 1кг,87,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00143.jpg&w=750&q=75
133,FRE00143,Домати Розеви мин. 4п цца 1кг,87,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00143.jpg&w=750&q=75
134,FRE00191,Моркови цца 1кг,31,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00191.jpg&w=750&q=75
135,FRE00191,Моркови цца 1кг,31,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00191.jpg&w=750&q=75
136,FRE00108,Авокадо Fuerte ready2eat 1п цца 160гр,56,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00108.jpg&w=750&q=75
137,FRE00108,Авокадо Fuerte ready2eat 1п цца 160гр,56,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00108.jpg&w=750&q=75
138,FRE00203,Млад кромид 1 китка,22,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00203.jpg&w=750&q=75
139,FRE00203,Млад кромид 1 китка,22,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00203.jpg&w=750&q=75
140,FRE00176,Кромид Жолт мин. 5п цца. 1кг,26,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00176.jpg&w=750&q=75
141,FRE00176,Кромид Жолт мин. 5п цца. 1кг,26,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00176.jpg&w=750&q=75
142,FRE00189,Корнишони цца. 500гр,39,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00189.jpg&w=750&q=75
143,FRE00189,Корнишони цца. 500гр,39,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00189.jpg&w=750&q=75
144,FRE00196,Марула 1п,28,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00196.jpg&w=750&q=75
